timestamp,confs_vote_1,confs_vote_2,confs_vote_3,confs_vote_4,confs_vote_5,confs_vote_6,confs_vote_7,confs_vote_8,confs_vote_9,confs_vote_10,confs_vote_11,confs_vote_12,confs_vote_13,confs_vote_14,confs_vote_15,confs_vote_16,confs_vote_17,confs_vote_18,confs_vote_19,confs_vote_20
2025-08-01 17:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 18:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 18:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 19:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 19:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 20:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 20:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 21:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 21:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 22:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 22:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 23:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 23:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-02 00:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-02 00:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-02 01:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-02 01:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-02 02:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-02 02:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
